TrialNumber,quadrant,speed,speed_px,motion_cycle,ran,order,n_cue,saccade_delay,sub,ses,run,target,trial_type,saccade_dur,target_pos_x,target_pos_y,saccade_spos_x,saccade_spos_y,saccade_epos_x,saccade_epos_y,target_pos_x_deg,target_pos_y_deg,saccade_spos_x_deg,saccade_spos_y_deg,saccade_epos_x_deg,saccade_epos_y_deg
65,1,0.24,6.56,700.0,1.0,64.0,4.0,481.0,1.0,1.0,0.0,bot,test,600.25,-275.45,165.27,-34.9,-0.8,-216.5,-97.6,-10.0,6.0,-1.27,0.03,-7.86,3.54
66,1,0.24,6.56,700.0,1.0,65.0,7.0,573.0,1.0,1.0,0.0,top,test,600.21,-165.27,275.45,-24.5,-9.9,-192.2,-189.8,-6.0,10.0,-0.89,0.36,-6.98,6.89
67,1,0.24,6.56,700.0,1.0,66.0,7.0,446.0,1.0,1.0,0.0,top,test,717.93,-165.27,275.45,-55.4,-12.0,-33728.0,-33308.0,-6.0,10.0,-2.01,0.44,-1224.45,1209.2
68,2,0.24,6.56,700.0,1.0,67.0,8.0,513.0,1.0,1.0,0.0,bot,test,600.16,165.27,165.27,-19.8,17.3,140.3,-95.3,6.0,6.0,-0.72,-0.63,5.09,3.46
69,2,0.24,6.56,700.0,1.0,68.0,8.0,473.0,1.0,1.0,0.0,bot,test,600.15,165.27,165.27,24.3,22.7,149.9,-79.3,6.0,6.0,0.88,-0.82,5.44,2.88
70,1,0.24,6.56,700.0,1.0,69.0,6.0,434.0,1.0,1.0,0.0,bot,test,600.21,-275.45,165.27,-37.9,1.1,-227.6,-109.5,-10.0,6.0,-1.38,-0.04,-8.26,3.98
71,1,0.24,6.56,700.0,1.0,70.0,6.0,573.0,1.0,1.0,0.0,bot,test,600.13,-275.45,165.27,-46.2,-33.3,-194.6,-95.0,-10.0,6.0,-1.68,1.21,-7.06,3.45
72,1,0.24,6.56,700.0,1.0,71.0,5.0,552.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,-51.3,-5.8,-188.7,-175.5,-6.0,10.0,-1.86,0.21,-6.85,6.37
73,1,0.24,6.56,700.0,1.0,72.0,4.0,443.0,1.0,1.0,0.0,bot,test,600.21,-275.45,165.27,-14.3,2.0,-200.8,-89.4,-10.0,6.0,-0.52,-0.07,-7.29,3.25
74,1,0.24,6.56,700.0,1.0,73.0,7.0,431.0,1.0,1.0,0.0,top,test,600.17,-165.27,275.45,-39.4,-50.9,-197.2,-190.8,-6.0,10.0,-1.43,1.85,-7.16,6.93
75,2,0.24,6.56,700.0,1.0,74.0,5.0,458.0,1.0,1.0,0.0,top,test,600.21,275.45,275.45,-48.0,-23.7,152.3,-218.6,10.0,10.0,-1.74,0.86,5.53,7.94
76,1,0.24,6.56,700.0,1.0,75.0,7.0,534.0,1.0,1.0,0.0,top,test,716.95,-165.27,275.45,-60.5,-39.4,5.8,-25.2,-6.0,10.0,-2.2,1.43,0.21,0.91
77,2,0.24,6.56,700.0,1.0,76.0,5.0,576.0,1.0,1.0,0.0,top,test,685.05,275.45,275.45,-62.9,-27.3,-72.4,-44.0,10.0,10.0,-2.28,0.99,-2.63,1.6
78,1,0.24,6.56,700.0,1.0,77.0,9.0,428.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,-57.6,-37.0,-205.7,-179.8,-6.0,10.0,-2.09,1.34,-7.47,6.53
79,1,0.24,6.56,700.0,1.0,78.0,9.0,493.0,1.0,1.0,0.0,top,test,600.18,-165.27,275.45,-63.8,-19.1,-193.3,-151.5,-6.0,10.0,-2.32,0.69,-7.02,5.5
80,1,0.24,6.56,700.0,1.0,79.0,5.0,555.0,1.0,1.0,0.0,top,catch,600.15,-165.27,275.45,-76.3,-9.4,-192.5,-189.9,-6.0,10.0,-2.77,0.34,-6.99,6.89
81,2,0.24,6.56,700.0,1.0,80.0,6.0,462.0,1.0,1.0,0.0,bot,test,600.11,165.27,165.27,-39.9,5.4,102.2,-89.5,6.0,6.0,-1.45,-0.2,3.71,3.25
